Cell ID,has_aggregate,cell_area,cell_mean_intensity,cell_total_intensity,cell_variance_intensity,cell_sd_intensity,aggregate_total_intensity,aggregate_mean_intensity,rest_of_cell_mean_intensity,rest_of_cell_total_intensity,rest_of_cell_variance_intensity,rest_of_cell_sd_intensity
237,True,3780,21.15273368606702,79957.33333333333,752.4650322095,27.431096081081048,140.0,46.666666666666664,21.14598218223516,239732.0,751.7081590798624,27.417296713568653
238,False,5975,24.188953974895398,144529.0,868.9123019741718,29.477318432553727,,,,,,
239,True,5105,19.77616715638263,100957.33333333333,666.1963239315756,25.81077921976738,223.0,74.33333333333333,19.765478056426332,302649.0,664.2696467934056,25.773429084881307
240,False,3452,18.038914638856703,62270.333333333336,532.5468634029104,23.07697691212847,,,,,,
241,False,5008,26.652489350372736,133475.66666666666,1110.622513771186,33.326003567352416,,,,,,
242,True,5370,26.101800124146493,140166.66666666666,1036.276290986741,32.19124556438817,152.0,50.666666666666664,26.097224809089216,420348.0,1035.700114605387,32.18229504875914
243,True,3109,23.985740323791145,74571.66666666667,873.1668385829381,29.549396585766996,142.0,47.333333333333336,23.97822822822823,223573.0,872.2864200268478,29.534495425296296
244,True,5103,21.739564961787185,110937.0,766.8319710956068,27.691731096043938,148.0,49.333333333333336,21.734156539918985,332663.0,766.1847172978526,27.680041858672332
245,False,2468,20.84670448406267,51449.66666666667,610.1822001066195,24.701866328409672,,,,,,
246,True,5455,21.796700274977084,118901.0,786.0351128515031,28.03631774772684,179.0,59.666666666666664,21.789756753453123,356524.0,785.0329277124973,28.018439066309483
247,False,5135,18.38299253489127,94396.66666666667,513.6970038327908,22.664884818432032,,,,,,
248,False,3888,35.52151920438958,138107.6666666667,2085.4534120953103,45.6667648525195,,,,,,
249,False,3399,32.192899872511525,109423.66666666667,1734.7480205894642,41.650306368494626,,,,,,
250,False,4638,38.370562023860856,177962.66666666666,2336.722105951198,48.33965355638369,,,,,,
251,False,4288,43.33045708955224,185801.0,2703.0953223656966,51.991300448879876,,,,,,
252,False,3738,23.865079365079364,89207.66666666666,980.3277033243594,31.3101852968704,,,,,,
253,True,4795,22.602224539450816,108377.66666666666,817.8428869527102,28.597952495811832,182.0,60.666666666666664,22.594284522319565,324951.0,816.6652517165717,28.577355575990087
254,False,4456,23.23795631358468,103548.33333333333,840.8176287377684,28.996855497411584,,,,,,
255,False,1816,17.091042584434653,31037.333333333332,423.73767306867114,20.584889435424984,,,,,,
256,False,3810,21.35984251968504,81381.0,709.132893063564,26.629549246345945,,,,,,
257,False,3664,24.50645924308588,89791.66666666667,1008.8181897192267,31.761898396022026,,,,,,
258,False,3966,22.721970079004876,90115.33333333334,757.5607897983988,27.52382222363745,,,,,,
259,False,3631,25.474065913889653,92496.33333333333,1002.5039863784699,31.662343349450147,,,,,,
260,True,4889,26.09245244426263,127566.0,988.5097589476771,31.440575041619024,152.0,50.666666666666664,26.087424986361157,382546.0,987.8670159006741,31.430351825913025
261,True,3549,24.18728280266742,85840.66666666667,918.7779241186701,30.311349757453396,192.0,64.0,24.1760616309658,257330.0,917.0114675407336,30.282197204640447
262,False,3182,27.617955164466792,87880.33333333333,1247.6888416598376,35.322639222739824,,,,,,
263,False,4208,29.224651457541192,122977.33333333334,1464.5854632815597,38.26990283867415,,,,,,
